event_id,x_reco_ml,y_reco_ml,z_reco_ml,nLinesU,nLinesV
0,-1743.0103521342835,-1664.3511107073075,14566.507351216307,2,2
1,1724.317359212997,-1595.0791473646275,13686.936186066243,2,2
2,-1040.3959880236537,-977.5472274814039,16872.10582451816,3,3
3,1365.9407525933377,-762.8630600532761,12391.761017445055,3,3
4,-703.0394100263524,-1698.424904085265,14613.991292071876,2,2
5,-906.6116570958932,-1169.30760005254,15765.253215244189,2,3
6,-1555.8869770319798,-982.8150354515236,12877.392605630519,3,3
7,1239.937479782496,-938.706101151227,16124.570822458589,3,4
8,1470.7416057499338,-1578.1961593947206,13064.12280077819,3,3
9,764.5589998752586,-1251.3006887578074,15334.998958994993,2,4
10,-399.81559144345346,-1735.9478841497219,14105.438582150948,5,5
11,-945.078324935516,-1827.6261291746607,12550.507836156467,3,2
12,-2550.0681906667965,-2127.366245982177,12686.73081333277,2,2
13,526.4617239492588,-797.4134165684953,12973.425887453961,2,2
14,1250.5708068951335,-1669.6274200012629,14870.361941442667,2,2
15,585.4596975149213,-828.1895910184624,12392.560817785785,3,3
16,1316.0573938248938,-1098.8613220894586,15297.116175270072,2,2
17,-508.66567031392975,-810.55564463595,13040.36280566833,2,2
18,1316.166638351331,-1585.3129898010416,16112.476896812808,3,2
19,-1477.2366977419251,-931.157666610311,13575.48999648471,2,2
20,-968.53888735416,-765.482219262421,12587.145086043194,2,2
21,729.0475123040368,-1810.0570030552567,11883.454394406506,2,2
22,854.8414891420288,-2073.0374100509493,13356.27968367701,2,4
23,-38.1437682716539,-1401.391334736182,12619.777690074621,2,2
24,526.6685319914384,-1529.1710442044025,12304.835157112606,2,2
25,1280.9109944914537,-1505.7068252029826,14679.780739545911,3,2
26,-2630.7626387105506,-1236.9053493297372,12721.07769658702,3,2
27,-694.660119626962,-790.6736871278217,14495.603990087344,2,3
28,1394.4144191609917,-1951.5944793744434,14018.99001849323,5,2
29,-310.3474466919771,-1801.01951964732,14477.469503559747,2,2
30,456.0463278765116,-1654.6015944299418,15181.113082012065,3,2
31,673.926421660889,-816.438644438679,12250.022383860758,3,4
32,-1469.9440749886166,-825.8721498189138,12790.230920374035,5,5
33,-160.63291464780204,-1249.7078222235157,12154.388809854247,4,4
34,-2545.1718328391203,-992.7572152093358,12907.482734703826,2,2
35,-1051.2685168355933,-551.677507502621,12092.807543062294,2,3
36,414.70739339602534,-1591.7814986164356,12250.35592816655,3,2
37,1826.553286330145,-1753.9213418598736,12805.419286950993,2,2
38,862.8094964702369,-733.6409227691892,12666.883803334644,2,2
39,1315.7609705692385,-852.93498712524,12627.064123680871,2,3
40,-2140.8177388358936,-2203.7356189330626,12869.499242105363,2,2
41,80.22180567025543,-2019.7546497036474,13842.03860446645,3,4
42,815.656561102368,-963.3303132550526,13857.589356437478,4,4
43,-1666.818466072567,-923.0701805702311,14194.368732381296,3,3
44,2054.938459037915,-2113.610022305235,14936.298108271398,2,3
45,2393.883453780539,-922.217673236823,14818.880180375469,2,2
46,705.4264419725126,-1350.9839203971555,12688.040177066672,4,2
47,1239.937479782496,-1561.1993749776816,15178.471664090137,2,2
48,786.2750419503275,-621.448885805875,12800.297373900621,3,2
49,2597.9738322451703,-950.3656085571314,12284.248607750316,2,2
50,-429.4964226440455,-846.0892804737919,12341.80837059383,2,2
51,-754.4539235267123,-1918.757871081093,14718.875556344248,4,2
52,-1024.4013034515715,-1113.1428507101027,12906.114642934912,2,2
53,1303.5554492412784,-2097.071863497545,14034.386971877226,2,2
54,2158.7935241235928,-1164.9314688472962,13711.85672048571,2,3
55,-2550.0681906667965,-2440.3062914840925,12492.258538839998,2,2
56,1327.7093632804654,-2122.7586445194324,12875.276375333508,3,3
57,-1354.1280710719927,-1758.6351375416368,12736.546185311889,2,3
58,-1453.4140232296804,-667.497605005242,15562.874182101212,2,3
59,-434.86109868836235,-1562.0034767494922,14778.59319454055,2,2
60,2491.767557061213,-1113.5457420483604,13825.93627530149,3,3
61,-842.6097955637567,-1209.1164403833357,12778.163431557421,2,2
62,489.9942345806919,-1656.3599126085992,12541.419086556623,2,2
63,-1865.6494351866536,-1562.174117604803,16010.271823654035,2,3
64,76.37390933939145,-1047.1280097437625,13407.204457344056,2,3
65,-2445.545828827817,-1635.7348257537492,14932.078030975448,3,2
66,-736.0685088234707,-1469.2988847542488,12430.397800077535,4,2
67,2441.4325726860407,-1017.5611478572389,11792.84529500133,2,2
68,258.13711591909475,-1337.5540107242402,14658.089614840683,2,3
69,-715.4901306898029,-333.4197633683343,11738.307001217094,2,2
70,-945.078324935516,-2265.0374465663403,13063.53398913118,2,3
71,645.0196954255542,-445.0775300361759,12736.949255555486,2,2
72,833.1124841457322,-1018.1591406001411,13266.780175103997,4,3
73,2054.938459037915,-2207.3001589736054,14969.754806406583,2,4
74,-339.73213584965475,-1955.156392516811,11979.509625874285,3,2
75,-1292.8953990371608,-1080.1245633434996,12349.101385112268,5,3
76,-1813.746543195787,-1289.8084807245118,16293.123758855689,2,3
77,1671.784029622858,-1867.5086154621515,12023.915520138202,5,2
78,-1534.7031580838068,-1302.5970779224292,14805.209534702775,2,2
79,-1886.0143947240165,-1854.4788538599146,15016.405911642694,2,2
80,729.0475123040368,-721.8840303164969,11905.447424535932,2,2
81,-269.12557268772224,-2270.476787506694,12912.407514178642,2,2
82,1840.2751901305571,-1757.9252412105384,14090.0900018757,2,3
83,2055.149837511323,-1365.6493630037473,13505.30180197788,2,2
84,333.90135578859616,-1822.6631356197156,12645.579478275617,3,3
85,-1559.7519242978797,-1447.774020692989,16501.707211061905,2,2
86,-1899.3995606507885,-1173.0131165786272,14794.018234377416,3,3
87,-689.3870465046556,-801.0522611073949,13037.449899205058,2,2
88,577.0272456050652,-706.7420785818201,12961.281653644572,2,2
89,620.5548542641167,-1522.9858884690616,13080.892552417128,3,2
90,736.2980215323281,-1287.5959397107652,12654.498217411898,2,2
91,-1492.9770849467109,-892.1282815643734,12678.707301642971,2,3
92,1722.48831448845,-901.7167632452073,11967.275889526574,3,5
93,1881.6757534725568,-581.1858677201305,13412.04731683608,2,2
94,2067.0568702140904,-2119.273554339966,12696.880063625707,2,2
95,655.5878573414305,-2310.780303748432,12851.672770597812,2,2
96,-2499.363906873149,-1662.7600928515778,12616.434408475405,2,3
97,-2605.6001122035054,-1441.0555291768496,16360.3447516631,3,2
98,-1147.3070412623738,-668.5733807483749,12445.008112582429,2,2
99,1859.5993321917672,-2170.407293693312,12252.678868341773,2,2
100,1303.259025985623,-1875.9931329181047,12566.27766969891,2,2
