pdg,label,length,nhits,dca,angle,dist_to_vtx,z_depth,start_z,end_z,straightness,total_energy,dedx,length_rank,is_longest,z_depth_rank
13,muon,3972.4773,48,658.9577333980121,168.10824619903252,3242.6346612250413,3840.0,13673.0,17513.0,13072.366371416952,123.9776,0.03120914,1,1,1
13,muon,1715.9319,22,658.9577333980125,171.17022192728834,2026.7155071688483,1520.0,15273.0,16793.0,147343.08851600185,49.127827,0.028630406,2,0,2
13,muon,2004.6732,38,922.0279135143132,4.820070859816475,7500.189873610673,1780.0,11973.0,13753.0,26208.15502331314,126.04004,0.06287311,1,1,1
2212,proton,1337.8296,17,922.0279135143128,12.883462795116563,4162.7912917458025,1280.0,14553.0,15833.0,621.9233321309794,45.426617,0.03395546,2,0,2
13,muon,1391.4099,19,342.2562350834129,143.52130337869394,657.2025751570607,1280.0,16313.0,17593.0,16685.159831038563,53.27292,0.038287006,1,1,1
211,pion,1089.0558,17,342.25623508341243,154.28924891625007,1449.1997371605498,1040.0,17033.0,18073.0,83091.5333965317,27.933176,0.025648985,2,0,2
13,muon,2186.6235,39,64.72036007369833,67.18018505553088,560.2575324027559,1920.0,11753.0,13673.0,85020.68227005434,141.33403,0.06463574,2,0,1
-211,pion,2397.6484,30,64.7203600736981,14.968103164695531,737.0283578023603,1320.0,11643.0,12963.0,96622.2139123311,111.254425,0.046401475,1,1,2
13,muon,2267.242,27,2553.8139803483523,58.66636943590323,2986.161085616137,2240.0,14313.0,16553.0,386.79376367590197,60.509434,0.026688565,1,1,1
321,other,1905.0837,15,2553.8139803483527,51.2213076588213,3270.448830832023,1040.0,14873.0,15913.0,37333.000188390055,43.43332,0.02279864,2,0,2
13,muon,1280.1222,18,540.6219828641277,170.23025699034451,3198.3449154232303,1280.0,14793.0,16073.0,91.58478248106161,47.428032,0.037049614,1,1,1
13,muon,904.67773,12,540.621982864128,167.92166506270505,2446.8554729227985,800.0,15913.0,16713.0,4132.748458592706,29.348148,0.032440446,2,0,2
13,muon,2601.8564,40,645.0283491749425,81.57846897181891,736.7155139301898,2520.0,12193.0,14713.0,26777.39725604758,121.28703,0.046615575,1,1,1
13,muon,2498.1582,32,276.0643812770341,173.94770356034707,2771.8841163266093,2480.0,15033.0,17513.0,2293.6782475509053,99.79424,0.039947126,2,0,2
211,pion,609.12195,14,895.1153708399551,49.985455232885805,1179.2733988863542,605.0,11478.0,12083.0,145.45742247313774,31.893074,0.052359097,3,0,3
321,other,723.46704,9,15.409848369362718,179.9219498192595,6212.116400183278,720.0,14873.0,15593.0,148.51234013988451,28.374714,0.039220463,2,0,1
13,muon,736.19336,10,15.409848369362157,0.22330155070729701,5886.137388090449,640.0,16073.0,16713.0,1733.8152067107003,22.663303,0.030784445,1,1,2
13,muon,2488.1414,29,1494.5257213142806,25.094136887075745,3809.294572698152,2320.0,15673.0,17993.0,15086.051924297539,104.83652,0.04213447,1,1,1
22,other,1678.4164,15,1494.5257213142806,40.92292767440926,2201.960860626851,1100.0,11753.0,12853.0,12367.701796443516,23.411348,0.013948475,2,0,2
13,muon,1330.0703,23,0.736146670541313,125.62382255744743,840.596010838135,1280.0,15353.0,16633.0,112787.51118616956,70.40141,0.052930593,2,0,2
211,pion,1673.3141,20,0.7361466705437412,161.38558443466334,285.18316566454087,1520.0,15353.0,16873.0,17526.03762010386,49.884857,0.02981201,1,1,1
13,muon,5396.769,52,784.8487105437083,55.83552534687013,916.7114124249671,5385.0,12688.0,18073.0,26951.137275962956,199.0204,0.036877695,1,1,1
13,muon,1377.8317,17,454.98913545279805,167.5166652894568,2097.789395552484,1040.0,14713.0,15753.0,4445.165458843541,22.166206,0.016087746,2,0,2
2212,proton,907.84125,13,473.3447261096589,163.06141287987438,2332.685513661245,880.0,14553.0,15433.0,29943.53002585412,19.956745,0.021982638,3,0,3
13,muon,3749.11,50,45.44377721489602,29.300499299104974,817.6864600670448,3555.0,12358.0,15913.0,22066.340829588677,113.62193,0.030306375,1,1,1
2212,proton,2842.626,16,45.44377721489608,24.681155483211906,334.6853343070978,1545.0,12688.0,14233.0,26264.968035259,57.538734,0.020241402,2,0,2
211,pion,1346.6638,25,57.35950550656326,11.223445740755889,370.32007290998285,1335.0,12578.0,13913.0,10445.63364096154,47.271793,0.035102893,1,1,1
-211,pion,1168.736,19,57.35950550656366,16.58544393100461,384.1406126780632,1015.0,12578.0,13593.0,20751.9942873166,50.98564,0.043624602,2,0,2
13,muon,5414.4062,69,9.918719485950259,174.00496026143702,468.6889891282235,5410.0,12743.0,18153.0,60203.667297439024,223.12495,0.041209497,1,1,1
2112,other,3143.3752,15,9.91871948595025,15.116785136033798,918.1245684875546,1170.0,12743.0,13913.0,18668.70658743045,33.604332,0.010690525,2,0,2
13,muon,2060.0256,27,798.0281807471421,7.727145656909288,5452.449429037957,1920.0,15113.0,17033.0,9184.91360474066,86.68818,0.042081118,1,1,1
13,muon,1912.3522,24,798.0281807471422,171.6614904265896,6033.548067617327,1680.0,14953.0,16633.0,26610.194617624304,56.81539,0.029709691,2,0,2
-2212,other,2609.7224,23,88.8177892580465,7.6754971208435725,2282.7166245367866,1320.0,12028.0,13348.0,28104.073183399578,43.228806,0.016564522,1,1,1
2112,other,1361.9062,23,88.81778925804653,6.802401388889401,1074.0422935053302,1265.0,12138.0,13403.0,10880.233382300572,31.294775,0.022978656,2,0,2
13,muon,1301.8994,18,1308.619497225614,14.380713957809387,4728.768461847246,1280.0,15753.0,17033.0,20763.271441161793,60.837765,0.046730004,1,1,1
-211,pion,1200.1302,13,1308.6194972256137,166.98363045830115,5739.765937906816,1200.0,14553.0,15753.0,326.6255682327716,49.10624,0.040917426,2,0,2
211,pion,841.67395,16,28.3618399487677,154.91449518625396,334.78633685355635,840.0,13073.0,13913.0,21469.320889505645,54.173656,0.06436418,1,1,1
13,muon,807.413,9,28.361839948767965,178.91884664051966,421.6604825387954,600.0,13073.0,13673.0,1311.5191290195116,51.133156,0.063329615,2,0,2
13,muon,3458.58,30,1342.1519338516096,33.66308021742207,2466.7236023816813,3200.0,14873.0,18073.0,2932.1757823081493,78.30621,0.022641145,1,1,1
-211,pion,1281.0317,16,1342.1519338516093,120.14201483185546,1551.197225890754,880.0,17193.0,18073.0,4557.760880622879,40.777077,0.031831432,2,0,2
13,muon,2076.0483,27,1245.771668773669,45.088321222930254,1725.855981267689,2000.0,15113.0,17113.0,9263.93154694836,76.88988,0.03703665,1,1,1
211,pion,1170.0948,13,1245.7716687736686,52.36133833877852,1551.81102570907,795.0,12798.0,13593.0,7158.692230359607,94.64123,0.080883384,2,0,2
13,muon,1441.4486,24,70.20301342692207,12.061008925389215,408.4715644894566,1125.0,12468.0,13593.0,15027.565453515412,66.77623,0.04632578,1,1,1
211,pion,1325.7397,16,70.2030134269212,168.86022999044448,388.1432712826771,605.0,12468.0,13073.0,7676.182502280064,42.85324,0.032324024,2,0,2
-211,pion,1919.707,31,372.0006618060671,45.561630212876544,400.1805037444262,1810.0,11863.0,13673.0,8842.92151963559,64.448296,0.033571944,1,1,1
13,muon,1472.4473,20,372.00066180606694,142.1344748039178,613.7585519956333,1210.0,11918.0,13128.0,13647.45599102974,34.426666,0.023380578,2,0,2
2212,proton,1276.1035,21,60.9411123767329,168.34869246509083,1166.6022280911907,1275.0,12798.0,14073.0,28706.068248103,44.4605,0.034840826,2,0,2
22,other,1722.4982,18,60.94111237673289,173.6114511769481,1186.0935969557959,1565.0,12908.0,14473.0,8662.967678218973,16.925589,0.009826187,1,1,1
2212,proton,660.23694,14,1002.259352157252,159.36432343130187,2875.144665386874,660.0,11973.0,12633.0,62.71297584647015,104.587204,0.1584086,2,0,2
11,electron,957.7064,11,1002.2593521572517,102.49792031232835,1066.8324411465287,880.0,14793.0,15673.0,9856.563224059653,61.334503,0.06404311,1,1,1
13,muon,3284.2498,50,523.5040296056078,14.750070372383648,2122.512635652479,3085.0,12028.0,15113.0,6198.869322508885,140.33241,0.04272891,1,1,1
13,muon,1929.0072,25,523.5040296056079,139.31351332528607,746.6817134042412,1585.0,13128.0,14713.0,9341.63365316419,70.03222,0.036304798,2,0,2
13,muon,3158.692,37,12.067611109105771,124.97192069184742,232.0724046266083,2480.0,14393.0,16873.0,32181.0880478173,83.87247,0.026552912,1,1,1
-321,other,1206.3906,14,12.067611109105863,3.5327063520389697,237.1410400580565,1200.0,14633.0,15833.0,166.14307284877083,47.423866,0.03931054,2,0,2
-211,pion,1669.7648,24,57.97095025472162,2.5141345126811827,417.72281597397136,1655.0,12578.0,14233.0,6994.919069640599,54.832073,0.032838203,2,0,1
22,other,2013.3241,19,57.970950254721316,7.063291624558336,629.4422422627429,985.0,12688.0,13673.0,3078.791068045577,25.388163,0.012610072,1,1,2
13,muon,2852.5374,28,636.1423477337797,159.9918260655665,1738.1385172268192,2400.0,14633.0,17033.0,3916.6195920453465,123.80574,0.04340197,1,1,1
13,muon,1292.1604,20,636.1423477337797,162.93628085094608,2394.24213542569,1280.0,13913.0,15193.0,56016.240003901534,52.298565,0.04047374,2,0,2
13,muon,3007.6343,33,157.80090282075508,173.09852021335172,1480.1156835324896,2480.0,13993.0,16473.0,23888.89808952302,60.890038,0.02024516,1,1,1
-321,other,2345.0154,24,157.80090282075543,9.357864325971342,1116.3597998833004,2320.0,13993.0,16313.0,8020.321476037741,44.202667,0.018849628,2,0,2
13,muon,1753.5011,22,1473.9621017376553,115.86533186607127,1701.0568627676428,1600.0,15193.0,16793.0,17324.776573875428,82.20568,0.046880882,1,1,1
13,muon,1273.1777,19,1473.962101737655,135.89612923316022,2179.207050630151,1200.0,14153.0,15353.0,18507.955960512834,35.85825,0.02816437,2,0,2
13,muon,2789.7498,38,2113.0825412880845,169.8136209580723,12010.406624964284,2640.0,15433.0,18073.0,75191.76039291604,112.57371,0.04035262,1,1,1
13,muon,2561.5269,29,2113.0825412880854,10.455487602769873,11712.659959322906,2560.0,15113.0,17673.0,88.29893548134241,61.62561,0.024058156,2,0,2
13,muon,3103.658,34,21.584233256826025,13.499877933686022,420.2728037829231,1860.0,11973.0,13833.0,10592.633804633966,81.522934,0.026266726,1,1,1
