pdg,is_muon,length,nhits,dca,angle,z_depth,straightness,total_energy,dedx
13,1,3972.4773,48,246.7893393688181,88.59050460241464,3840.0,13072.366371416952,123.9776,0.03120914
13,1,1715.9319,22,70.89553749028761,112.98168156888876,1520.0,147343.08851600185,49.127827,0.028630406
13,1,2004.6732,38,61.69249939529815,97.28719002578059,1780.0,26208.15502331314,126.04004,0.06287311
2212,0,1337.8296,17,545.786448523005,89.20212824901574,1280.0,621.9233321309794,45.426617,0.03395546
13,1,1391.4099,19,332.51557226006696,18.096492728450315,1280.0,16685.159831038563,53.27292,0.038287006
211,0,1089.0558,17,360.78155007595336,146.53000864100963,1040.0,83091.5333965317,27.933176,0.025648985
13,1,2186.6235,39,231.54357965102105,74.1793783397868,1920.0,85020.68227005434,141.33403,0.06463574
-211,0,2397.6484,30,294.42448126006315,26.469321369122174,1320.0,96622.2139123311,111.254425,0.046401475
13,1,2267.242,27,174.33901367354935,52.884536473029954,2240.0,386.79376367590197,60.509434,0.026688565
321,0,1905.0837,15,590.372240046027,25.7089945983588,1040.0,37333.000188390055,43.43332,0.02279864
13,1,1280.1222,18,321.4698044126097,95.94251730567404,1280.0,91.58478248106161,47.428032,0.037049614
13,1,904.67773,12,4.556171065234067,37.85903409207233,800.0,4132.748458592706,29.348148,0.032440446
13,1,2601.8564,40,37.878918421302,54.63162109989842,2520.0,26777.39725604758,121.28703,0.046615575
13,1,2498.1582,32,442.1661247669742,171.73466464997503,2480.0,2293.6782475509053,99.79424,0.039947126
211,0,609.12195,14,72.08737677646386,125.6079766066384,605.0,145.45742247313774,31.893074,0.052359097
321,0,723.46704,9,237.64104752384677,102.21604456414751,720.0,148.51234013988451,28.374714,0.039220463
13,1,736.19336,10,185.42709062937735,166.59171038361828,640.0,1733.8152067107003,22.663303,0.030784445
13,1,2488.1414,29,244.60934920879507,135.25868210109712,2320.0,15086.051924297539,104.83652,0.04213447
22,0,1678.4164,15,559.0265977459602,25.222167725387663,1100.0,12367.701796443516,23.411348,0.013948475
13,1,1330.0703,23,238.64997052051493,100.5351886880046,1280.0,112787.51118616956,70.40141,0.052930593
211,0,1673.3141,20,120.42484179296726,9.521419441331389,1520.0,17526.03762010386,49.884857,0.02981201
13,1,5396.769,52,5274.306894569632,169.86600229692445,5385.0,26951.137275962956,199.0204,0.036877695
13,1,1377.8317,17,694.5146862764634,53.20462805644039,1040.0,4445.165458843541,22.166206,0.016087746
2212,0,907.84125,13,450.8948627716079,34.25201315442458,880.0,29943.53002585412,19.956745,0.021982638
13,1,3749.11,50,19.999426170439033,47.49728630947018,3555.0,22066.340829588677,113.62193,0.030306375
2212,0,2842.626,16,341.8248352047296,40.35121534109605,1545.0,26264.968035259,57.538734,0.020241402
211,0,1346.6638,25,55.32965089675851,14.337523866482673,1335.0,10445.63364096154,47.271793,0.035102893
-211,0,1168.736,19,132.92385672962052,14.76411349168314,1015.0,20751.9942873166,50.98564,0.043624602
13,1,5414.4062,69,460.63953839365627,122.16643323783323,5410.0,60203.667297439024,223.12495,0.041209497
2112,0,3143.3752,15,104.25059885403233,19.794463352445337,1170.0,18668.70658743045,33.604332,0.010690525
13,1,2060.0256,27,617.9397121367077,103.19041581205062,1920.0,9184.91360474066,86.68818,0.042081118
13,1,1912.3522,24,97.41176023507515,65.8858710924743,1680.0,26610.194617624304,56.81539,0.029709691
-2212,0,2609.7224,23,642.3367365961301,11.734244690288161,1320.0,28104.073183399578,43.228806,0.016564522
2112,0,1361.9062,23,93.90383159288149,25.258841640990088,1265.0,10880.233382300572,31.294775,0.022978656
13,1,1301.8994,18,32.22075082424451,98.62914076301281,1280.0,20763.271441161793,60.837765,0.046730004
-211,0,1200.1302,13,343.36677106411247,141.72968931033822,1200.0,326.6255682327716,49.10624,0.040917426
211,0,841.67395,16,247.68077322570304,77.58310797068104,840.0,21469.320889505645,54.173656,0.06436418
13,1,807.413,9,95.67009851253354,103.07419037793638,600.0,1311.5191290195116,51.133156,0.063329615
13,1,3458.58,30,547.0558770695131,43.23139887032333,3200.0,2932.1757823081493,78.30621,0.022641145
-211,0,1281.0317,16,231.1214347333979,87.15693269268218,880.0,4557.760880622879,40.777077,0.031831432
13,1,2076.0483,27,172.266380955502,88.8218237666323,2000.0,9263.93154694836,76.88988,0.03703665
211,0,1170.0948,13,170.7470722734625,19.70636015513773,795.0,7158.692230359607,94.64123,0.080883384
13,1,1441.4486,24,26.101238237816176,74.80075618109821,1125.0,15027.565453515412,66.77623,0.04632578
211,0,1325.7397,16,389.30563692771494,144.91727044655687,605.0,7676.182502280064,42.85324,0.032324024
-211,0,1919.707,31,31.494223416915453,88.6933798826746,1810.0,8842.92151963559,64.448296,0.033571944
13,1,1472.4473,20,774.6434280830571,107.25083193726277,1210.0,13647.45599102974,34.426666,0.023380578
2212,0,1276.1035,21,147.44797225613934,129.40889465355156,1275.0,28706.068248103,44.4605,0.034840826
22,0,1722.4982,18,473.71046572189664,127.62364431807438,1565.0,8662.967678218973,16.925589,0.009826187
2212,0,660.23694,14,183.38440376891904,97.92968713577693,660.0,62.71297584647015,104.587204,0.1584086
11,0,957.7064,11,450.572340476797,66.2579424498108,880.0,9856.563224059653,61.334503,0.06404311
13,1,3284.2498,50,135.67529373789128,75.32794992615358,3085.0,6198.869322508885,140.33241,0.04272891
13,1,1929.0072,25,171.77637434562098,149.05863690428123,1585.0,9341.63365316419,70.03222,0.036304798
13,1,3158.692,37,368.2475144546747,147.06039134916145,2480.0,32181.0880478173,83.87247,0.026552912
-321,0,1206.3906,14,703.3980975344527,105.38008918971313,1200.0,166.14307284877083,47.423866,0.03931054
-211,0,1669.7648,24,147.88932199299796,56.984115327475564,1655.0,6994.919069640599,54.832073,0.032838203
22,0,2013.3241,19,263.6134550907567,33.85062848397277,985.0,3078.791068045577,25.388163,0.012610072
